순번,분류,상호명,대표자명,소재지,특화거리,영업시간,휴무일,좌석수,홈페이지,업체소개,주차정보,화장실정보,해당여부,,,,,,,,,,,,,,좌표,,대표음식 해당여부,,,,,,,,,,,,,주변분류,판매 메뉴
,,,,,,,,,,,,,무슬림친화,채식여부,안심식당,모범업소,장애인시설,외국어가능,조식가능,예약가능,유아시설,1인식사,포장가능,배달가능,와이파이사용,상품권사용,경도,위도,과메기,대게,등푸른막회,회/물회,백숙,산채비빔밥,삼겹살,생선구이,아구찜,장어,조개구이,치킨,해신탕,,
32,한식,의정부식부대찌게,김종성,"경북 포항시 남구 대이로159번길 12-10, 1층 (이동)",이동음식일번지,09:00~23:00,연중무휴,72석,,"저희 집은 20년 전통을 가진 의정부식부대찌개의 본점입니다. 재료 구입에서 양념까지 모두 주인의 손길을 깐깐하게 거칩니다. 특히 비법양념에는 30여 가지의 고급 재료를 아낌없이 넣어 찌개를 더 맛있게 해 줍니다. 햄과 소세지는 FDA의 승인을 거친 미국산을 직수입해 전통 부대찌개의 맛을 고스란히 살려냅니다.
청결 및 위생관리에 모범이 되는 업소이며 덜식 식사를 위한 개별 식기들과 개별 포장된 수저를 제공해 손님께서 안심하고 식사하실 수 있도록 해 드립니다.",이동상인회 주차장,남녀구분,,,y,y,,,,,,y,y,,y,y,129.3383184,36.02944234,,,,,,,,,,,,,,,"기본, 모둠, "
33,횟집,일번지회&amp;대게,정경옥,"경북 포항시 북구 송라면 동해대로 3356-11, 1층",,09:30~21:00,3일(한달),테이블 30개,,"이 지역에서 가장 오래된 횟집으로 자연산회와 물회. 해산물 등을 취급합니다.
손님들의 기호에 맞는 음식들로 드신 손님들은 음식이 맛있다고 극찬을 하시면서 블로그에 많이 올려 주십니다.
우리집에서 가장 인기있는 메뉴는 자연산물회로 참가자미, 잡어 등으로 바다 상황에 따라 조금씩 달라집니다.
회를 시켰을 때 17가지 정도의 다양한 해산물과 쓰키다시가 나오며 매운탕이 지리로 정말 맛있습니다.
맛있게 회를 드시고 주인장이 직접 담근 모과차도 한 잔 하고 가세요.  
",승용차 20대,남녀구분,,,,,,,,y,,,y,,,,129.3746915,36.26232733,,y,,y,,,,,,,,,,전망좋은맛집,"일번지스페셜, 도다리/참가자미, 광어,우럭, 자연산물회, 우럭매운탕, 우럭양념구이, 전복죽, 새우튀김, "
34,물회,재성회대게식당,이지혜,"경북 포항시 남구 구룡포읍 호미로 185, 1층",,09:00~21:00,연중무휴,50석,,"10여 년 동안 물회요리를 전문으로 하는 맛집. 자연산은 기본. 물회의 비법 양념을 직접 만들어 사용. 물회 맛 칭찬이 자자한 집입니다.
한 번 드시면 매 번 오시며 단골이 되십니다.  직접 농사지은 채소를 반찬으로 올리며 주인이 직접 손님께 정성껏 서비스 해드립니다.",4대/ 공영주차장(무료),남녀구분,,,y,,,,y,y,,,y,,y,y,129.5518756,35.98822571,y,y,,y,,,,,,,,,,,"돔/농어/이시가리 등, 활어회, 전복물회, 자연산물회, 재성물회, 대게/삼식이/우럭/물곰탕, 대게/홍게/수입대게/킹크랩, 대게회, 대게세트(A), 과메기, "
35,물회,전망대게좋은무한리필,김영옥,경북 포항시 남구 구룡포읍 호미로 306,구룡포대게거리,11:00~22:00,연중무휴,70석,,"저희 배(다온호)로 직접 당일 조업한 대게를 무한리필로 제공하는 전국 유일의 대게 무한리필 매장입니다.
창 밖으로 무한히 펼쳐진 바다를 보면서 맛있는 대게를 무한히 리필해 드셔 보세요. 풍성함의 끝을 장식하는 대게라면, 홍게라면.
또 하나의 인생 맛집이 될 겁니다.
민박도 운영합니다.",3대,남녀구분,,,,,,,,,,,,,,,129.5633604,35.98996335,,y,,y,,,,,,,,,,,"대게무한/홍게무한(성인), 대게무한/홍게무한(7세~11세), 홍게라면, 매운오징어순대/매운오징어순대찜, (수입산)대게/킹크랩/(국내산)대게/박달대게/홍게, 자연산회, (여름특미)해산물모둠회, 홍게라면정식/멍게한사라, 문어/고동회, "
36,,전세계간장게장,김현지,"경북 포항시 남구 오천읍 냉천로 356, 등촌빌딩 1층",,11:30~21:00,"첫째, 셋째 화요일",48석,,"발효호소지도사, 약용식물자원관리사인 주인의 전문지식을 바탕으로 몸에 좋은  각종약초,특히 늙은 호박을 많이 사용하여 만든 게장, 직접 유기농을 농사지은
채소로 각종 밑반찬 을 만들어 제공할만큼 오신 손님들에게 건강한 음식을 제공하고 있다.","2대, 주변도로 주차용이",남녀공용,,,,,,,,,,,y,y,y,y,129.4076725,35.9632459,,y,,,,,,,,,,,,,"무한리필A(간장게장+된장찌개+계란밥), 무한리필B(간장게장+양념게장+된장찌게+계란밥, 간장게장(3마리), 양념게장(3마리), 모듬장(전2세5게2), 새우장(10미), 전복장(4미), 간장골뱅이, 새우비빔밥, 전복장비빔밥, 알밥, 계란밥, 간장게장(7-8미)1kg 포장, 양념게장(12미)1kg, 3종세트(전복5+새우7+게5), 새우장(20미), 전복장(13미), "
37,횟집,좋은날 대게 회,황윤선,"경북 포항시 북구 해안로 203-1, 1층 (두호동)",설머리물회지구,11:00~23:00,"매주 화,수요일",200석,,"아름다운 영일대 바다전망을 보면서 대게, 회, 물회를 드시러 오이소~
싱싱한 해산물 맛을 보시고 느껴보이소~
맛, 청결, 친절은 음식점의 기본입니데이~
꼭꼭꼭 찾아주이소.",20대,남녀구분,,,,,,,,y,,y,y,,y,y,129.385551,36.06491518,y,y,,y,,,,y,,,,,,전망좋은맛집,"자연산회 특(4~5인), 자연산회 대(3~4인), 자연산회 중(2~3인), 자연산회 소(2인), 물회, "
38,횟집,죽도회대게타운,문영식,경북 포항시 북구 죽도시장길 29 (죽도동),,09:00~22:00,연중무휴,테이블 31개,,넓은 좌석가 테이블로 3층까지 구성한 대게타운입니다 여러 회들도 판매할뿐아니라 맛난 대게도 접해볼수있는 음식점으로써 회식이나 가족외식으로도 충분히 괜찮은 음식점입니다,까치 주차장 이용가능,남녀구분,,,,,,,,,,,y,y,,y,129.3686317,36.03535684,,y,,y,,,,,,,,,,,
39,물회,진강수산식당,최윤경,경북 포항시 남구 구룡포읍 구룡포길 55-1,,11:00~21:00,연중무휴,120석,,"저희 업소의 모든 수산물은 100% 자연산이며 구룡포 지역 연근해 바다에서 수확된 것입니다.
부모님이 각각 오징어/대게 중매인, 활어 중매인이어서 우수한 품질의 해산물을 먼저 선별해 저렴한 가격에 구입하므로 최고품질을 그대로 손님께 서비스해 드릴 수 있습니다.
유명인들에게도 많이 알려진 포항을 대표하는 맛집입니다.",10대,남녀구분,,,y,,,,,y,,y,y,y,y,y,129.5523179,35.98971098,y,y,,y,,,,,y,,,,,,"아구수육, 아구찜, 아구탕(지리), 자연산물회/오징어물회, 전복물회, 자연산모둠회, 대게/홍게, 과메기, "
40,물회,착한대게직판장,최진우,"경북 포항시 남구 구룡포읍 호미로221번길 14-6, 1층",구룡포대게거리,09:00~20:30,첫째 셋째 월요일(11월~2월은 무휴),56석,,"저희는 선박을 운영하는 선주로서 직접 게를 수확하고 경매에도 참여하여 최고 품질의 게를 확보하므로 신선함, 가격, 품질은 무조건 만족하실 겁니다.
직접 거둬들인 게로 게간장, 간장게장을 상품으로 만들어 인기리에 판매 중입니다. 
겨울철 과메기도 품질 좋은 것만 나갑니다.",공영주차장(무료),남녀공용,,,,,,,,y,,,y,,,y,129.5537222,35.98974567,y,y,,y,,,,,,,,,,,"국산대게/수입산대게, 킹크랩(수입산)/붉은대게(국산), 모둠회(매운탕제외), 과메기야채세트, "
41,물회,참맛대게직판장,김말자,"경북 포항시 남구 구룡포읍 호미로 207, 1층",구룡포대게거리,09:00~19:00,첫째 셋째 월요일,48석,,"친절을 우선으로 합니다. 위생, 청결을 중시해 매일 살균 소독합니다.
저희 가게는 주로 박달대게를 많이 판매합니다. 단골손님과 재방문 손님이 많은 편입니다.
회, 물회, 과메기가 모두 맛있지만 특히 대게 라면은 누구나 찾으시는 인기 메뉴입니다.",공영주차장(무료),남녀공용,,,y,,,,y,y,,,y,y,,y,129.5539829,35.98934811,y,y,,y,,,,,,,,,,,"구룡포대게/수입대게/박달대게/킹커랩, 자연산회, 자연산물회, 무침회, 대게탕, 대게라면, "
42,카페,청하엘마론(홍게네식빵),권혁환,경북 포항시 북구 청하면 청하로 165,,06:30~22:00,둘째 주 월요일,테이블 10개,,청하에서 유일한 베이커리 카페입니다. 모든 빵은 주인이 직접 만들며 호두단팥빵이 특히 맛잇습니다.,승용차 4대,남녀구분,,,,,,,,,,,y,,,,129.3386535,36.19426431,,y,,,,,,,,,,,,,"호두단팥빵, 아메리카노, 홍게찰빵, 카페라떼, 자몽에이드, 허브차, 레몬차, "
43,횟집,하봉석 대게회,하봉석,경북 포항시 북구 칠성천길 135 (남빈동),,10:00~22:00,연중무휴,테이블 14개,,"대게 회 전문점입니다
11월부터 본격적으로 대게철입니다
유통과정을 줄여 가격을 저렴하게 판매하고있습니다 외지분들에게도 항상 정직하고 친절하게 판매하고있습니다",,남녀구분,,,,,,,,y,,y,y,,y,y,129.3685739,36.0368456,,y,,y,,,,,,,,,,,"2인한상, 3인한상, 4인한상, 스폐셜 세트, 자연산, 모듬회, 문어, 포항물회, 자연산물회.오징어물회, 해산물물회, 짬뽕물회, "
44,한식,해변의 꽃게,김민혁,"경북 포항시 북구 천마로46번길 38, 1층 (양덕동)",,11:00~21:30,매주 수요일,테이블 20개,,국내산 꽃게를 사용한 간장게장 전문점.,9대,남녀구분,,,,,,,,,,,y,,y,y,129.4010812,36.08048656,,y,,,,,,,,,,,,,"해꽃정식, 해꽃 큰 상, 꽃게탕, 간장게장 한마리, 양념게장 맛보기, 간장새우 6마리, 꽃게탕 뚝배기, 애기볶음밥, "
45,정육식당,해오름휴게소식당,이현미,"경북 포항시 북구 기계면 기계로57번길 21, 1층",,11:00~22:00,연중무휴,테이블 24개,,"저희 식당은 저렴한 가격으로 맛있는 고기를 드실 수 있을뿐만 아니라 식사를 하시는 동안 세차까지 할 수 있습니다. 또한 캠핑을 가는 일체의 모든 재료들이 준비되어 있으며 커피숍까지 겸하고 있습니다.  
식사를 맛있게 하시고 커피숍에서 따뜻한 커피 한잔까지 하시면 금상첨화가 아닐까요! 
또 하나 - 지역에서 나는 농산물을 농민들을 대신하여  판매합니다. ","승용차 30대, 버스 5~6대",남녀구분,,,,,,,,y,,,y,,y,,129.2109379,36.06823165,,,,,,,y,,,,,,,,"육회비빔밥, 불고기 전골, 소찌개, 한우갈비살, 된장국수, 짜글이, 해갈비탕, "
46,한식,해피투게더,김영선,경북 포항시 남구 문예로 132 (해도동),,18:00~02:00,매주일요일,테이블 5개,,"오래된 식당에 사장님이 직접 요리를 하며 사장님의 솜씨가 좋습니다
항상 친절을 배푸시고 양도 넉넉히 드리고 있습니다
분위기가 편하게 드시기 좋습니다",,남녀공용,,,,,,,,y,,,,,,y,129.368348,36.0177124,,,,,,,,,y,,,,,,"가자미찜, 황태찜, 김치찌개, 부대찌개, "
47,횟집,홍게무한리필,박성광,경북 포항시 북구 삼흥로18번길 21 (장성동),,12:00~23:00,휴무연중무휴,테이블 13개,,홍게를 무한껏 드실수 있습니다.. 홍게를 저렴한가격에 많이 드실 수 있는 곳은 여기뿐입니다,소형차2대,남녀공용,,,,,,,,y,,,y,y,y,y,129.38149,36.06539907,,y,,,,,,,,,,,,,"홍게 무한리필, 대게, 통영굴찜, 바다장어구이, 전복구이, 홍가리비찜, 활어 회 무침, "
48,횟집,화진회대게,김주영,경북 포항시 북구 송라면 동해대로 3326 ((1층)),,09:00~21:00,매달 2번,테이블 16개,,"우리 횟집은 자연물회와 자연회가 주 메뉴입니다.
특히 아귀탕이 인기가 많습니다. 물회는 자연산 참가자미로 만듭니다. 
전망 좋은 맛집으로서 회 정식을 시키시면 싱싱한 자연산 회와 18가지 종류의 곁들이 안주가 함께 나옵니다.
대게도 판매하고 있으며 수산도매를 같이 하기 때문에 혼수용, 제수용 문어도 주문받습니다.
많이 찾아 주세요. ",승용차 15대,남녀공용,,,,,,,,y,,,y,,,,129.3739479,36.25938488,,y,,y,,,,,,,,,,전망좋은맛집,"자연산물회, 회 스페샬, 모듬 회, 해산물 모듬, 전복죽, 횟밥, 참도다리(세꼬시)/가자미, 문어숙회, 통문어, "
49,,휴게소분식,권영진,"경북 포항시 남구 오천읍 정몽주로 537, 영신상가 1층 106~107호",,07:00~20:00,"매주일요일, 장날 ( 5,10,15,20,25,30 ) 은 일요일이라도 open",20석,,"오천시장입구, 오천버스환승센타바로옆에 위치함. 국산배추로 직접담근 김치와 음식은 정성으로 만들어 대접하고 있습니다. ",주변도로,"남녀공용, 장애우화장실 없음",,,,,,,,y,,y,y,,y,y,129.4150824,35.96622074,,y,,,,,,,,,,,,,"비빔밥, 쫄면, 칼국수, 잔치국수, 떡볶이, 떡라면, 라면, 아메리카노, 아이스아메리카노, 카페라떼, 아이스라떼, 카페모카, 딸기라떼, 딸기/망고/키위/바나나쥬스, 쟈스민/오미자/카모마일차, "
50,횟집,감포횟집,강말옥,"경북 포항시 북구 대신로22번길 4-2, 1층 (대신동)",등푸른막회거리,11:00~21:00,연중무휴,테이블 8개,,"30년전통 자연산회전문점입니다
싱싱한 활어를 매일 받아 사용하고있으며 
인기메뉴로 물회가있습니다 저희물회는 고추장물회로 포항전통의물회입니다 육수를 사용하지많아 회의 본연에맛을 잘 느낄수있습니다 깨끗하고 넓은 단체석 완비되어있습니다",공용주차장,남녀공용,,,,,,,,y,,y,y,,y,y,129.3685262,36.04592698,,,y,y,,,,,,,,,,,"특물회, 전복물회, 도다리물회.참가지미물회.오징어물회.전복죽, 물회국수.일반물회, 세꼬시.도다리.참가자미.모듬회(대), 세꼬시.도다리.참가자미.모듬회(중), 세꼬시.도다리.참가자미.모듬회(소), 전복회, 멍게, 이시가리.대방어, "
51,횟집,오대양물회식당,박귀순,경북 포항시 북구 대신로 28-1 (대신동),등푸른막회거리,08:30~22:30,연중무휴,테이블 16개,,"자연산회 전문점입니다 물회가 주메뉴이며 육수를 쓰지않고 고추장양념을 사용하는 원조포항물회입니다
매운탕은 얼큰하고 깔끔하게 끓여내 입맛을 당기게합니다 기본반찬들 모두 직접 조리하고있으며 친절한 서비스로 영업합니다",공용주차장,남녀공용,,,,,,,y,y,,y,y,y,y,y,129.3680949,36.04666548,,,y,y,,,,,,,,,,,"등푸른막회, 도다리.잡어(대), 도다리.잡어(중), 도다리.잡어(소), 무침회(소), 무침회(중), 오대양특미물회, 도다리/세꼬시 물회, 도+전, 잡+전, 전복물회, 해삼물회, 잡어 물회덮밥, "
52,횟집,해동회수산,윤득호,경북 포항시 북구 대신로26번길 12 (대신동),등푸른막회거리,10:00~21:00,연중무휴,테이블 14개,,"시장안에 위치하여 바로앞에서 신선한 회를 보고 드실수있습니다
푸짐하고 저렴한가격에 신선한재료들로 음식을 준비하고있습니다
단체석도완비되어있으며 안심식당으로 등록되어있어 
믿고 찾아와주셔도됩니다
친절한서비스로 모시겠습니다",공용주차장,남녀공용,,,y,,,,,y,,y,y,,y,y,129.3693527,36.04626238,,y,y,y,,,,,,,,,,,"도다리.잡어(특), 도다리.잡어(대), 도다리.잡어(중), 도다리.잡어(소), 도다리.잡어(소), 모듬회, 특물회, 도다리물회, 자연산물회, 등푸른막회, 오징어물회, 회밥, 자연산 회무침, "
53,횟집,11번회센타,김춘자,경북 포항시 북구 청하면 해안로 2586,,11:00~19:00,휴무 연중무휴,테이블 15개,,"우리 식당은 주인장이 직접 담근 고추장으로 만든 옛날식 물회가 유명합니다. 육수를 따로 주지 않고 손님들 식성에 따라 물회나 회덮밥으로 드실 수 있습니다.
전망이 좋은 횟집으로 바다를 보면서 회를 드시면 회의 맛을 더 진하게 느낄 수 있을 거에요.",승용차 8~10대,남녀구분,,,,,,,,y,,,,,,,129.3837254,36.21456346,,,,y,,,,,,,,,,전망좋은맛집,"도다리 물회, 도다리회, 참가자미물회, 모듬회, 참가자미찌개 정식, 매운탕 정식, 해산물(멍게,해삼), 과메기, "
54,,가온참치,김태영,경북 포항시 남구 오천읍 남원로 47 (수정빌딩 2층),,17:00~01:00,매주일요일,40석,,저희 가온참치는 단순히 염수해동만 거치는 것이 아니라 자연해동으로 완전 해동후 저온숙성과 수분기제거 과정을 거쳐 만듭니다. 오랜 경력으로 다져진 참지 전문일식요리사가 직접운영하는 가온참치입니다. ,4대,"남녀공용, 장애우 화장실없음",,,,,,,,y,,y,y,y,y,y,129.4044879,35.97040545,,,,y,,,,,,,,,,,"생삼치 1인( 리필2회), 기본(1일 리필2회), 특선(1인 리필 2회), 스페셜(1인 리필2회), 로얄(1인 리필2회), 초밥, 특초밥, "
55,횟집,갈매기횟집,이범순,"경북 포항시 북구 해안로 517-1, 1,2층 (여남동)",여남카페거리,11:30~21:30,두째.넷째 월요일,30석,,"영일대해수욕장 해안 도로로 이어지는 여남이라는 작은 마을에 위치해.조용하고 공기도 좋습니다.
오셔서 회도 드시고 힐링하고 가세요.
저희는 동해안에서  갓 잡은 자연산 회를 판매하고 있습니다.
동해안에서 잡은 싱싱한 해산물도 준비 되어 있습니다.",도로 주차가능,남녀구분,,,,,,,,,,y,y,,y,y,129.413275,36.07249753,,,,y,,,,,,,,,,전망좋은맛집,"도다리.참가자미(자연산), 도다리.참가자미(대), 도다리.참가자미(중), 도다리.참가자미(소), 물회(특), "
56,기타,감포참가자미,이영희,"경북 포항시 북구 침촌마을길 12-17, 1층 (장성동)",,10:00~21:00,연중무휴,테이블 11,,자연산 활어 회 맛집,10대정도 가능,남녀구분,,,,,,,,y,,,,y,y,y,129.3796775,36.07920462,,,,y,,,,,,,,,,,"참가자미회, 참가자미물회, 자연산모듬회, 자연산도다리물회, 회덮밥, "
57,횟집,감포참가자미횟집,최재영,"경북 포항시 남구 중흥로172번길 24, 1층 (상도동)",,10:00~22:00,가게사정에따라,테이블 10개,,"낚시도다리회와 참가자미회를 판매하고있는 횟집입니다!
포항에서 참가자미회 원조 전문횟집이라고 사장님께서 말씀하십니다 20년이상 가게운영하고있어서 믿고 드셔보실수있습니다",공용주차장 사용,남녀공용,,,,,,,,y,,y,y,y,,y,129.3577206,36.01818022,,,,y,,,,,,,,,,,"참가자미회, 낚시도다리회, 가자미찜, "
58,,강변회집,김인순,"경북 포항시 남구 형산강북로 113, 1층 (효자동)",,10:00~23:00,연중무휴,,,"선한 자연산만 취급한며 전복 및 참가자미물회, 도다리물회 특미물회,전복죽,매운탕,초밥등과 다양한 사이드메뉴","강변로 및 점포주변, 공용주차장",남녀구분,,,,,,,,,,,,,,,129.3393922,36.00469549,,,,y,,,,,,,,,,,"참가자미물회, 전복물회, 자연산잡어회(소), 자연산잡어회(중), 자연산잡어회(대), 자연산참가자미회(소), 자연산참가자미회(중), 해물모듬(중), 해물모듬(중), 해물모듬(대), 전복죽, 초밥, 삼식이,우럭매운탕(중), 삼식이,우럭매운탕(대)   , "
59,횟집,거북바위 횟집,고재하,경북 포항시 북구 송라면 동해대로3378번길 10,,90:00~21:00,연중무휴,테이블 15개,,"우리 횟집은 자연산만 취급하며 여러가지 종류가 함께 나오는 모듬회가 가장 인기가 좋습니다.
가격이 착하고 모자랄 시 리필 가능합니다.
밑 반찬을 손수 직접 만들며 드신 분들이 회도 맛있지만 따라 나오는 반찬도 정말 맛있다고 하십니다.
한번 오신 손님은 다시 찾아 주시는 전망좋은 맛집입니다.",승용차 20대,남녀공용,,,,,,,,y,,,y,,,,129.3749919,36.26503343,,,,y,,,,,,,,,,전망좋은맛집,"모듬회, 물회, 참가자미, 도다리, 멍게/소라/해삼, 오징어, 전복, "
60,물회,경주회식당,한기백,경북 포항시 남구 구룡포읍 일출로62번길 9-19,,10:00~20:00,연중무휴,15석,,"포항의 전통물회와 자연산 물회를 전문으로 합니다. 특히 매운탕이 일품입니다. 
선주로부터 매일 구입하여 신선도는 완전 보장합니다.
문을 열면 바로 만나는 바다. 파도 소리 들으면서 싱싱한 회 한 접시 드셔 보세요.  여기가 인생 맛집입니다.",10대,남녀구분,,,,,,,y,y,,,y,,y,y,129.5708707,36.00347529,y,y,,y,,,,,,,,,,,"모둠회, 참가자미/도다리, 광어/우럭, 박달대게, 돔/농어/오징어/해삼/멍게, 전복물회, 물회/횟밥, "
61,횟집,경주회식당,여은주,경북 포항시 북구 해안로 247-1,설머리물회지구,10:00~20:00,연중무휴,150석,,"저희 업소는 2대째 약50년 전통의 자연산 횟감을 전문으로 취급하고 있습니다.
각종 장류(된장, 고추장)는 직접 만들어 사용하고 있어 손님들에게 호응들이 좋습니다.

위생을 철저히 하는 식당이라 안심하고 드실수 있습니다.
항상 변함없는 손맛으로 맛있는 요리를 제공하겠습니다.",10대,남녀구분,,,,y,,,,y,,,y,y,y,y,129.3896982,36.06305488,,,,y,,,,,,,,,,전망좋은맛집,"도다리(특대), 도다리(대), 도다리(중), 도다리(소), 자연산 물회, "
62,물회,경포회대게센타,박말연,경북 포항시 남구 구룡포읍 호미로 284,구룡포대게거리,08:00~21:00,매월 둘째주 월요일,68석,,"박달대게, 참가자미회 전문점.(비품인 물게는 취급하지 않습니다.) 
참가자미 외 당일 수확된 제철 해산물 위주로 회 식단을 구성합니다. 물회는 볶음 고추장과 육수를 따로 내어 손님들께서 취향대로 드실 수 있습니다.
2층 객실은 바다과 항구가 한 눈에 들어와 멋진 풍광을 자랑합니다.",공영주차장(무료),남녀공용,,,y,,,,y,y,,y,y,,y,y,129.5611387,35.99005011,y,y,,y,,,,,,,,,,,"모둠회(자연산), 참가자미회, 도다리, 광어/우럭, 전복, 이시가리/돔, 대게찜, (식사류)자연산물회, 전복죽, 대게탕, "
63,,경희회식당,김경희,경북 포항시 남구 중흥로172번길 27 (상도동),,,,,,,,,,,,,,,,,,,,,,,129.3580992,36.01821647,,,,y,,,,,,,,,,,
64,횟집,계림회타운,박은정,경북 포항시 남구 연일읍 철강로41번길 52,,10:30~21:30,"첫째주 월요일,셋째주 일요일 휴무",테이블 12개,,"식당이 영업한지는 10년되면서 물회종류 하고 회 팝니다
그리고 회는 자연산 회를 죽도보다 저렴하게 판매 하고 있습니다",연일시장공용주차장 주차가능,남녀공용,,,,,,,,y,,,y,y,,y,129.348821,35.99573748,,,,y,,,,,,,,,,,"모듬회, 참가자미ㆍ잡어, 도다리, 오징어, 해산물모듬, 잡어 물회, 참가자미 물회, 도다리 물회, 스폐샬 물회, 무침회, "
65,횟집,고래횟집,김태양,"경북 포항시 북구 죽파로 40, 1층 (죽도동)",,12:00~00:00,사장님의 사정에 따라,테이블 7개,,물회와 여러 종류의 회를 판매하는 일반 음식점입니다,,남녀공용,,,,,,,,y,,y,y,,,y,129.3605382,36.02785458,,,y,y,,,,y,,,,,,,"자연산 참가자미회, 맛있는 모듬회, 담백한 오징어회, 고소한도다리물회, 참가자미물회, 특미 전복물회, "
66,횟집,구룡포 포장 횟집,김민정,"경북 포항시 북구 장량로75번길 14, 1층 (장성동)",,15:00~02:00 일요일 15:00~23:00,매주 월요일,,,"배달전문점입니다  주문시 작업을 하기에 모듬 3만원기준 10분정도 소요됩니다
미리 전화주시고 방문하시면 원하는시간에 가져가실수 있습니다",,남녀공용,,,,,,,,y,,,y,y,,y,129.3889308,36.08352074,,,,y,,,,,,,,,,,"모듬회, 단품회, 구룡포무침회, "
67,물회,구룡포대게마을회,지은경,"경북 포항시 남구 구룡포읍 호미로 243, 1층",구룡포대게거리,10:00~22:00,임의,60석,,"박달대게 전문점. 매일 선주에게 직송으로 대게를 받거나 경매로 구입해 신선도는 최고입니다.  품질에 대해  책임을 지고 판매합니다.
물회와 매운탕도 인기가 많습니다. 물회는 슬러시 물회로 일반적으로 물회 즐기시는 분들 입맛에 딱 좋은 그 맛입니다.",공영주차장(무료),남녀구분,,,,,,,,y,,y,y,y,y,y,129.5569631,35.99127958,,y,,y,,,,,,,,,,,"대게/박달대게, 대게탕/ 과메기, 모둠회, 모둠회모(양식), 회덮밥덮/물회, 참가자미물회, 삼식이매운탕/우럭매운탕, "
68,물회,구룡포대게회전문점,김지우,경북 포항시 남구 구룡포읍 호미로 241,구룡포대게거리,10:00~22:00,연중무휴,60석,,"선주로부터 바로 공급받아 좋은 품질의 해산물을 착한 가격에 손님상에 올릴 수 있습니다.
삼식이, 우럭, 매운탕이 특히 맛있고 인기가 좋습니다.
저희는 언제나 손님을 가족과 같은 맘으로 대접하고 , -양심에 어긋나는 이윤을 취하지 말자-라는 신념을 지키고 있습니다.",공영주차장(무료),남녀공용,,,,,,,,,,,,,,,129.55669,35.99124035,y,y,,y,,,,,,,,,,,"모둠회, 이시가리/대게/박달대게, 모둠회(양식), 물회/회덮밥, 참가자미물회, 삼식이매운탕/우럭매운탕, 구룡포과메기, "
69,횟집,구룡포해물,최병란,경북 포항시 남구 상대로 88-2 (상도동),,16:00~03:00,연중무휴,테이블 9개,,저희 구룡포해물은 싱싱한해산물을 제공하기위해 매일 산지직송으로 생물을 취급하고잇습니다 룸도따로 되어있으며 친절서비스로 모시겠습니다,,남녀구분,,,,,,,,y,,,,,,y,129.3560152,36.01446904,y,,,y,,,,,,,,,,,"해물모둠, 전복.소라회, 문어숙회, 전복버터구이, 조개탕, 산낙지.연포탕, 조개 우럭 가자미 먹태 구이, "
